party,handle,tweet_count
Dem_official,Cagovernor,837
Dem_official,GovofCO,256
Dem_official,GovNedLamont,945
Dem_official,delaware_gov,343
Dem_official,GovHawaii,467
Dem_official,GovPritzker,256
Dem_official,GovLauraKelly,494
Dem_official,GovAndyBeshear,439
Dem_official,louisianagov,1500
Dem_official,GovJanetMills,98
Dem_official,GovWhitmer,264
Dem_official,GovTimWalz,252
Dem_official,GovernorBullock,0
Dem_official,GovSisolak,496
Dem_official,GovMurphy,1497
Dem_official,GovMLG,464
Dem_official,nygovcuomo,696
Dem_official,NC_Governor,537
Dem_official,OregonGovBrown,230
Dem_official,GovernorsOffice,202
Dem_official,GovRaimondo,240
Dem_official,GovernorVA,259
Dem_official,GovInslee,311
Dem_official,GovEvers,0
Dem_personal,GavinNewsom,434
Dem_personal,jaredpolis,156
Dem_personal,NedLamont,1
Dem_personal,johncarneyde,266
Dem_personal,nan,60
Dem_personal,jbpritzker,15
Dem_personal,LauraKellyKS,28
Dem_personal,AndyBeshearKY,137
Dem_personal,JohnBelforLA,40
Dem_personal,gretchenwhitmer,0
Dem_personal,Tim_Walz,26
Dem_personal,montanagovernor,0
Dem_personal,stevesisolak,430
Dem_personal,philmurphynj,15
Dem_personal,michelle4nm,171
Dem_personal,andrewcuomo,0
Dem_personal,RoyCooperNC,181
Dem_personal,KateBrownForOR,12
Dem_personal,governortomwolf,606
Dem_personal,ginaraimondo,2
Dem_personal,ralphnortham,6
Dem_personal,jayinslee,204
Dem_personal,Tony4WI,252
Rep_official,GovernorKayIvey,326
Rep_official,MikeDunleavyGov,0
Rep_official,9thFloorAZ,706
Rep_official,AsaHutchinson,245
Rep_official,GovRonDeSantis,83
Rep_official,GovKemp,446
Rep_official,GovernorLittle,311
Rep_official,GovHolcomb,315
Rep_official,IAGovernor,223
Rep_official,GovLarryHogan,467
Rep_official,massgovernor,265
Rep_official,nan,20
Rep_official,GovParsonMO,888
Rep_official,NEGovOffice,359
Rep_official,GovChrisSununu,706
Rep_official,DougBurgum,165
Rep_official,GovMikeDeWine,1192
Rep_official,GovStitt,253
Rep_official,scgovernorpress,50
Rep_official,GovKristiNoem,294
Rep_official,GovBillLee,306
Rep_official,GovAbbott,196
Rep_official,GovHerbert,182
Rep_official,GovPhilScott,64
Rep_official,WVGovernor,0
Rep_official,GovernorGordon,126
Rep_personal,kayiveyforgov,0
Rep_personal,GovDunleavy,149
Rep_personal,dougducey,1319
Rep_personal,nan,445
Rep_personal,rondesantisfl,54
Rep_personal,BrianKempGA,195
Rep_personal,HolcombForIN,506
Rep_personal,kimreynoldsia,111
Rep_personal,LarryHogan,331
Rep_personal,CharlieBakerMA,28
Rep_personal,tatereeves,363
Rep_personal,mikeparson,226
Rep_personal,GovRicketts,994
Rep_personal,ChrisSununu,53
Rep_personal,DougForDakota,148
Rep_personal,mikedewine,84
Rep_personal,henrymcmaster,111
Rep_personal,kristinoem,28
Rep_personal,BillLeeTN,0
Rep_personal,GregAbbott_TX,319
Rep_personal,HerbertForUtah,0
Rep_personal,PhilScott4VT,2
Rep_personal,JimJusticeWV,254
Rep_personal,Mark_Gordon_WY,0